,Position,Matches Played,K/D/A,Win Rate,Kill Participation,Objective Participation
0,Middle,247,3.65,66.8,54.1,49.3
1,Jungle,191,4.19,69.6,62.4,76.9
2,Jungle,516,2.9,55.6,59.9,72.9
3,Top,593,2.64,54.3,42.0,42.6
4,Jungle,356,3.59,56.2,63.0,74.7
5,Jungle,281,2.99,59.4,56.3,72.9
6,Jungle,273,3.1,58.6,57.9,74.8
7,Top,160,2.3,63.8,45.6,55.0
8,Bottom,286,4.12,59.1,57.3,43.7
9,Middle,320,3.28,59.7,54.7,29.9
10,Bottom,267,2.91,58.8,52.8,51.5
11,Bottom,275,2.34,60.0,52.1,47.7
12,Top,261,2.6,58.6,42.1,46.2
13,Bottom,240,3.29,61.2,50.8,53.5
14,Bottom,283,2.88,59.4,52.1,45.5
15,Top,413,2.4,55.0,40.4,40.7
16,Top,286,1.82,57.0,43.2,41.9
17,Top,246,2.23,60.6,42.6,42.1
18,Support,298,3.4,57.7,58.8,41.9
19,Bottom,287,3.0,57.5,51.5,49.0
20,Middle,229,2.66,61.6,53.3,29.2
21,Jungle,289,3.7,61.2,58.6,77.8
22,Middle,237,2.31,60.8,49.9,41.7
23,Support,317,2.19,57.1,58.1,40.3
24,Middle,411,2.5,55.2,49.6,48.5
25,Middle,483,2.39,56.5,49.0,37.0
26,Top,586,2.67,54.1,43.4,36.1
27,Support,274,2.73,57.3,58.6,36.0
28,Jungle,267,3.82,58.4,59.0,76.5
29,Top,313,2.92,55.6,41.3,52.9
30,Top,293,2.61,56.3,49.5,41.6
31,Top,272,2.54,58.8,43.9,40.0
32,Top,293,2.42,58.0,40.1,46.1
33,Bottom,266,3.33,57.1,51.5,44.6
34,Bottom,280,2.42,57.5,50.7,47.1
35,Jungle,368,3.48,56.8,56.7,72.3
36,Jungle,322,2.88,56.8,53.9,62.3
37,Jungle,334,3.24,55.4,57.2,72.7
38,Bottom,336,2.69,55.7,53.4,48.2
39,Jungle,187,3.27,63.6,58.6,78.4
40,Jungle,312,3.91,57.7,61.3,84.9
41,Top,306,2.61,57.5,47.2,42.6
42,Top,251,2.65,57.0,44.4,41.4
43,Support,307,3.43,58.0,60.2,43.4
44,Jungle,403,2.23,54.6,53.4,60.9
45,Middle,336,2.59,56.2,48.4,36.3
46,Jungle,612,2.6,52.9,52.8,70.2
47,Top,357,2.78,54.6,39.6,41.1
48,Bottom,263,3.38,60.1,54.9,54.8
49,Middle,229,2.32,58.5,48.5,40.2
50,Top,210,3.13,67.6,45.6,41.8
51,Bottom,523,2.73,55.3,52.7,38.8
52,Top,254,2.6,58.3,43.9,36.7
53,Top,151,2.44,64.2,41.3,48.9
54,Jungle,209,2.51,60.3,51.9,76.8
55,Middle,221,3.16,60.2,47.3,41.9
56,Jungle,222,3.12,58.6,58.8,64.6
57,Middle,321,2.5,57.3,52.0,36.2
58,Jungle,158,4.53,58.9,60.9,80.5
59,Support,202,3.72,63.9,61.3,58.3
60,Jungle,227,3.43,59.5,51.4,73.8
61,Middle,630,2.75,53.5,48.4,39.9
62,Jungle,145,3.8,67.6,59.0,77.2
63,Middle,178,3.93,59.6,52.9,42.8
64,Top,248,2.72,57.3,41.7,38.6
65,Support,518,2.89,53.3,57.0,43.2
66,Jungle,178,3.02,62.9,56.3,70.5
67,Jungle,276,3.83,57.6,57.1,73.0
68,Support,400,2.62,54.5,53.4,30.7
69,Top,401,2.35,55.4,40.8,39.3
70,Bottom,208,2.43,61.5,52.3,47.6
71,Top,221,2.27,57.0,40.0,41.4
72,Jungle,454,4.5,54.4,60.4,74.4
73,Support,203,3.61,57.6,61.1,40.0
74,Bottom,132,3.95,64.4,54.5,40.6
75,Middle,153,6.33,64.7,56.3,70.2
76,Middle,147,3.48,61.9,47.6,43.6
77,Top,198,2.25,59.6,45.9,36.9
78,Top,306,2.31,55.6,43.7,51.6
79,Support,296,3.64,56.4,57.9,44.5
80,Jungle,231,3.66,58.9,56.6,71.2
81,Bottom,186,2.42,55.4,49.5,44.5
82,Bottom,368,2.53,53.5,52.8,46.2
83,Bottom,187,2.6,61.5,48.0,42.1
84,Jungle,341,3.45,56.3,58.4,69.6
85,Bottom,575,2.13,54.3,40.1,44.8
86,Jungle,310,3.03,57.4,59.9,76.3
87,Top,651,2.29,52.2,42.1,36.8
88,Middle,284,3.31,56.0,51.8,49.1
89,Jungle,116,3.03,68.1,56.6,84.4
90,Jungle,474,2.69,54.6,53.9,82.1
91,Jungle,372,2.72,54.6,56.5,76.6
92,Top,439,2.37,54.7,41.6,37.0
93,Middle,329,2.61,53.8,50.5,36.2
94,Support,249,3.44,58.6,55.7,40.1
95,Bottom,275,3.33,55.3,48.8,48.4
96,Middle,233,1.9,57.5,47.9,32.5
97,Support,356,3.24,53.4,57.8,30.1
98,Support,274,4.07,59.1,64.0,54.6
99,Bottom,132,4.37,62.9,56.5,51.3
