,Position,Matches Played,K/D/A,Win Rate,Kill Participation,Objective Participation
0,Middle,37,3.31,48.6,47.7,42.4
1,Top,60,1.6,45.0,41.4,39.3
2,Support,12,4.36,41.7,58.8,59.8
3,Top,4,2.79,50.0,54.1,48.0
4,Top,49,1.88,55.1,39.9,53.2
5,Bottom,6,2.05,33.3,40.7,31.1
6,Jungle,38,2.6,55.3,45.7,56.3
7,Top,17,1.67,41.2,41.2,37.4
8,Support,4,6.18,75.0,65.1,80.6
9,Bottom,1,2.2,0.0,64.7,18.8
10,Bottom,12,1.79,16.7,44.2,35.7
11,Jungle,4,4.92,50.0,65.0,39.3
12,Top,2,3.7,50.0,58.8,54.8
13,Bottom,36,2.55,52.8,48.1,56.2
14,Support,8,3.04,37.5,59.5,42.1
15,Bottom,38,2.43,47.4,40.9,46.2
16,Bottom,26,1.67,65.4,43.5,36.6
17,Support,3,3.36,100.0,41.6,51.7
18,Middle,3,5.43,66.7,49.5,80.1
19,Middle,13,2.47,23.1,55.5,18.7
20,Jungle,27,2.14,59.3,43.9,74.0
21,Middle,4,1.12,0.0,38.2,15.7
22,Support,1,2.57,0.0,72.0,20.0
23,Jungle,12,2.26,41.7,54.0,46.9
24,Middle,20,3.99,65.0,51.4,46.3
25,Support,90,2.06,52.2,46.6,26.7
26,Top,19,3.19,63.2,46.3,52.7
27,Middle,1,9.0,100.0,34.6,33.3
28,Jungle,55,1.98,52.7,49.6,57.6
29,Middle,122,2.79,51.6,46.4,41.3
30,Middle,24,1.55,54.2,35.2,42.2
31,Bottom,4,2.0,25.0,52.3,38.9
32,Bottom,24,2.3,54.2,47.5,32.9
33,Bottom,129,3.11,45.7,49.1,39.6
34,Bottom,1,1.12,0.0,60.0,0.0
35,Support,13,3.07,53.8,53.2,56.0
